Data Download from NCSES Interactive Data Tool

Filters,Selected values
"State","ALL"
"Fiscal Year","ALL"
"Institution Name","ALL"

"Deflator: 2012 Dollars",
"Unit of Measure: Thousands of Dollars",

,"<Fiscal Year>","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","1989","1988","1987","1986","1985","1984","1983","1982","1981","1980","1979","1978","1977","1976","1975","1974","1973",
"Ohio","Cleveland State U.","71,288","75,948","77,595","73,366","55,027","59,590","66,216","61,111","56,567","35,620","15,099","15,938","19,267","17,849","25,640","21,340","18,078","17,094","16,275","13,082","15,573","14,892","14,620","14,607","14,605","15,016","14,224","16,248","15,503","13,662","12,334","12,418","12,090","8,134","6,941","4,815","4,624","4,276","4,407","3,328","2,507","1,156","1,384","956","1,109","1,215","1,313",
"Ohio","Denison U.","-","-","-","-","-","-","-","-","-","645","461","419","396","450","452","490","766","460","481","420","411","442","470","501","534","570","606","633","659","694","733","776","840","893","944","1,008","1,079","1,158","1,269","1,431","1,336","-","792","575","603","469","307",
"Ohio","Heidelberg U.","1,101","1,162","1,502","1,214","1,058","1,484","1,110","-","1,242","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","144",
"Ohio","John Carroll U.","-","-","-","-","-","-","-","-","757","1,201","1,815","2,366","4,397","4,488","4,553","2,709","1,853","1,015","645","1,373","1,404","1,306","1,202","1,103","1,000","896","788","691","592","495","391","279","466","318","163","57","413","631","480","317","286","-","269","680","312","622","591",
"Ohio","Kent State U.","42,009","38,856","38,910","32,719","36,329","24,755","22,750","26,507","27,982","27,397","28,709","27,754","24,005","18,327","17,338","19,206","21,532","15,876","14,182","13,854","14,512","16,856","15,365","15,710","15,030","16,070","17,520","17,312","12,866","11,264","9,017","8,612","8,016","6,578","7,064","5,779","4,597","4,726","6,503","2,484","2,352","5,930","5,322","4,776","4,040","3,375","4,309",
"Ohio","Kenyon C.","972","1,114","-","-","-","-","-","-","441","445","356","592","-","-","-","-","-","-","-","-","131","171","207","245","284","325","369","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","92","192",
"Ohio","Marietta C.","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","181","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Ohio","Medical U. OH","-","-","-","-","-","-","-","-","-","-","-","-","-","23,946","24,061","23,778","22,085","21,024","19,145","17,607","16,324","15,176","18,092","18,265","18,100","17,717","17,825","16,198","14,209","11,244","11,094","9,304","13,414","13,054","12,618","12,297","11,995","11,689","11,588","12,684","11,362","12,282","12,704","12,918","5,444","5,092","6,942",
"Ohio","Miami U.","19,924","17,850","15,970","15,157","15,372","20,463","23,511","26,311","26,593","27,594","31,376","26,571","25,657","21,350","20,620","18,138","16,627","16,383","16,047","13,671","14,356","8,950","12,954","12,089","9,931","9,562","7,137","5,900","4,690","3,460","3,852","3,715","3,548","3,330","3,086","2,862","2,435","2,414","2,295","2,512","2,535","1,933","2,096","1,905","1,833","1,995","1,987",
"Ohio","Muskingum C.","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","26","152",
"Ohio","Northeast Ohio Medical U.","16,039","16,554","17,801","17,769","16,321","15,351","12,503","13,358","13,841","11,257","10,607","9,721","5,389","5,878","6,524","6,607","5,286","5,583","5,680","5,137","4,438","3,876","4,016","3,407","4,443","3,475","2,745","2,595","2,139","2,213","2,633","3,312","2,365","1,832","1,946","1,845","2,358","1,840","1,884","1,769","4,503","-","-","-","-","-","-",
"Ohio","Notre Dame C. (South Euclid, OH)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","10","13","14","148","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Ohio","Oberlin C.","1,848","1,637","1,748","1,232","1,844","1,754","1,641","1,856","1,743","2,065","915","770","836","899","1,211","449","571","542","407","885","821","757","689","623","555","486","414","339","260","179","93","-","39","72","106","144","184","228","281","350","428","-","472","530","630","655","762",
"Ohio","OH Dominican U.","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","8","91","5","-","-","-","13","3","7","12",
"Ohio","Ohio Northern U.","-","-","-","-","-","-","-","-","467","320","178","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Ohio","Ohio State U.","827,262","794,529","800,687","772,613","780,505","786,145","779,689","766,513","848,086","785,755","782,698","770,331","797,226","736,140","735,848","650,236","665,242","533,470","489,602","462,875","422,689","400,512","388,335","358,208","342,697","327,476","321,328","301,957","296,121","280,456","282,667","261,863","216,046","202,306","189,386","165,227","162,779","168,148","169,630","167,134","161,843","142,324","135,637","125,341","129,744","122,963","122,801",
"Ohio","Ohio U.","47,837","48,400","56,594","55,805","58,287","58,642","58,704","57,203","58,749","52,481","45,364","41,347","42,177","43,487","51,010","46,731","45,456","45,158","34,022","30,440","28,070","28,518","28,219","25,045","27,430","23,334","22,420","21,999","19,440","20,389","18,674","18,394","14,984","14,534","10,649","8,970","9,495","10,991","8,999","7,539","6,727","3,964","4,096","4,817","4,060","3,540","5,973",
"Ohio","Ohio Wesleyan U.","-","-","-","-","-","-","-","-","733","349","305","253","407","440","525","438","344","350","337","327","334","262","831","694","444","639","399","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","143","128",
"Ohio","U. Akron","26,725","29,585","38,283","55,522","55,838","67,060","68,439","66,413","61,510","55,024","36,686","29,077","29,625","31,838","31,911","33,022","34,494","34,645","27,906","24,969","21,316","21,686","24,177","21,189","21,691","23,842","25,476","22,020","20,365","16,290","15,850","12,046","12,604","9,628","6,590","6,134","3,541","4,582","3,222","2,959","2,579","3,263","3,369","2,944","2,369","2,010","1,480",
"Ohio","U. Cincinnati","471,649","435,935","421,730","406,457","416,102","407,864","431,076","433,668","457,546","427,912","389,360","380,774","372,516","338,435","338,722","336,401","317,780","267,301","241,754","220,175","200,342","212,126","190,210","174,539","126,844","132,969","134,230","134,096","122,445","116,947","113,779","102,406","94,317","79,699","78,263","75,139","68,934","58,156","67,561","68,581","64,403","73,091","70,478","65,393","51,838","54,727","48,445",
"Ohio","U. Dayton","147,196","133,480","125,258","110,058","93,695","83,797","82,799","81,030","92,294","97,085","100,042","88,342","82,354","80,019","80,276","78,035","66,805","57,437","51,815","50,393","48,366","59,774","61,033","59,014","64,124","67,861","65,368","60,913","57,616","56,819","52,113","53,308","52,773","49,359","45,821","44,531","39,036","37,882","43,994","46,550","44,575","35,695","30,436","25,645","23,532","23,183","25,515",
"Ohio","U. Findlay, The","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","272","242","308","228","448","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Ohio","U. Toledo","48,969","45,691","46,346","47,217","49,961","59,703","67,881","68,228","75,571","73,248","71,012","64,785","58,757","36,357","37,751","33,116","29,232","30,629","20,401","17,539","15,476","15,292","11,725","11,177","10,347","11,426","12,247","10,824","10,244","8,718","7,493","6,507","5,171","3,697","3,280","3,187","2,051","2,046","2,144","2,742","3,036","2,128","2,305","1,959","2,060","1,724","2,119",
"Ohio","Union Institute & U.","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1,525","1,559","1,340","1,162","1,375","1,603","1,607","1,432","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Ohio","Wilberforce U.","-","-","-","-","-","-","-","-","672","791","632","932","1,519","1,191","849","485","97","148","201","256","314","372","376","441","534","717","290","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Ohio","Wittenberg U.","-","-","-","-","-","-","-","-","248","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Ohio","Wright State U.","57,161","61,777","55,007","52,376","51,808","53,033","49,618","46,213","49,431","50,541","50,751","50,701","53,844","53,016","46,224","45,073","42,389","38,200","40,147","37,261","30,288","26,136","23,226","23,750","25,966","27,543","28,716","24,943","22,250","21,126","17,993","16,172","12,727","16,839","15,142","14,016","11,920","13,273","14,212","11,646","12,375","16,165","5,247","3,068","2,834","1,545","1,672",
"Ohio","Xavier U.","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","9","1","47","94","189","252","410","571","737","919","1,116","1,331","1,595","1,204","1,401","-","1,037","1,870","1,591","366","44",
"Ohio","Youngstown State U.","3,959","4,052","4,112","2,211","3,195","3,341","3,720","3,598","4,823","4,706","2,191","1,568","794","1,459","1,585","2,183","1,724","1,553","1,064","681","613","1,193","1,010","829","643","450","250","279","305","336","370","406","352","280","216","142","192","199","832","594","304","-","281","518","315","392","255",
"Oklahoma","Total for selected values","475,200","469,703","468,688","461,189","400,427","404,758","412,822","437,180","453,252","416,948","372,814","368,460","336,771","341,401","346,087","341,032","364,960","348,002","319,862","323,295","312,685","277,450","253,507","279,200","263,990","251,137","253,889","254,466","234,085","207,330","188,671","193,213","174,448","160,134","176,845","172,895","170,631","144,970","146,921","113,903","90,484","85,415","78,598","73,532","72,073","69,941","79,910",
"Oklahoma","East Central U.","-","-","-","-","625","974","-","937","1,974","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Oklahoma","Langston U.","9,543","9,872","10,213","10,552","7,755","8,210","4,847","5,326","5,306","4,674","4,330","4,269","4,763","4,903","5,000","4,220","5,247","4,904","3,588","3,270","3,064","2,698","2,455","3,445","4,435","2,907","2,729","2,599","1,990","1,885","3,827","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Oklahoma","Northeastern State U.","-","-","-","-","-","-","-","-","656","736","833","665","788","2,066","2,207","1,221","1,558","1,621","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Oklahoma","OK Panhandle State U.","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","23","38","53","70","88","108","132","163","199","-","182","114","345","436","547",
"Oklahoma","OK State U. all campuses","-","-","-","-","-","-","-","-","-","-","126,779","128,575","109,886","111,388","113,788","122,623","124,913","117,193","113,186","113,074","108,822","94,930","83,927","113,360","105,620","100,592","105,803","105,813","102,534","103,163","87,422","95,899","83,126","82,485","89,963","92,115","86,374","80,339","73,007","55,395","52,442","51,580","53,155","49,760","50,813","48,676","53,528",
"Oklahoma","OK State U. Tulsa","-","-","-","-","-","-","-","-","-","164","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Oklahoma","Oklahoma City U.","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","59","64",
"Oklahoma","Oklahoma State U., Center for Health Sciences","4,814","2,368","2,273","2,060","1,551","1,741","2,100","2,122","2,869","4,576","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","3,039","1,846","2,164","2,142","1,798","1,558","1,325","1,081","820","549","248","266","321","-","-","-","-","-",
"Oklahoma","Oklahoma State U., Stillwater","164,051","171,394","175,106","171,443","124,029","122,052","132,180","166,523","165,908","153,047","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Oklahoma","Oral Roberts U.","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","149","69","86","79","41","29","121","203","122","56","94","1,965","4,465","4,416","4,313","4,184","-","-","-","-","-","-","-","-","-","-","-","-",
"Oklahoma","Southeastern Oklahoma State U.","-","-","-","-","-","-","-","-","471","200","167","335","389","541","555","513","280","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Oklahoma","Southwestern Oklahoma State U.","-","-","-","-","-","-","-","-","548","445","267","-","288","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Oklahoma","U. Central Oklahoma","5,058","4,635","5,403","5,923","7,340","1,314","1,049","1,028","1,578","1,858","984","917","439","934","247","185","218","999","996","652","1,536","286","263","246","228","210","192","209","228","250","274","300","245","189","128","66","-","-","-","-","-","-","-","-","325","677","563",
"Oklahoma","U. Oklahoma, Norman and Health Science Center","269,459","257,549","252,194","245,433","231,291","244,352","251,264","240,974","254,078","226,915","224,960","217,178","202,683","206,903","208,688","193,398","217,926","208,969","186,358","193,273","186,047","168,512","153,651","149,039","142,397","136,021","133,515","136,869","121,197","92,106","87,913","84,742","79,497","67,053","77,495","75,861","80,279","60,623","69,169","54,454","35,403","30,999","23,664","21,508","18,048","18,271","23,688",
"Oklahoma","U. Oklahoma, Tulsa","5,674","5,660","4,157","4,684","3,916","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Oklahoma","U. Tulsa","16,601","18,226","19,342","21,095","23,921","26,116","21,382","20,270","19,863","24,333","14,493","16,520","17,536","14,666","15,603","18,872","14,818","14,316","15,733","12,877","13,146","10,939","13,132","13,070","11,281","11,287","11,447","8,854","8,079","6,793","5,424","5,644","4,999","4,259","3,463","3,458","2,809","3,079","4,065","3,643","2,174","2,514","1,597","2,150","2,543","1,823","1,520",
